"","id","fem","edp","inv","inv_z","psu","psu_z","break_001","edc","ed0","ed1","ed2","ed3","ed4","break_002","edt"
"1",1,1,17,3.084924228,0.460726053,579.8721617,1.577932119,NA,0.985241056684637,0,0,0,1,0,NA,1
"2",2,1,15,3.100684662,0.489145935,569.1011413,1.412521005,NA,0.141595472718715,0,0,1,0,0,NA,0
"3",3,0,17,3.282205305,0.816471934,436.4167532,-0.62512511,NA,0.985241056684637,0,0,0,1,0,NA,1
"4",4,1,15,3.495028782,1.200244308,666.511256,2.908456564,NA,0.141595472718715,0,0,1,0,0,NA,0
"5",5,1,17,3.675645001,1.525939703,538.4421518,0.941688001,NA,0.985241056684637,0,0,0,1,0,NA,1
"6",6,1,15,2.881830305,0.094498113,481.6638955,0.06973964,NA,0.141595472718715,0,0,1,0,0,NA,0
"7",7,1,17,3.734490276,1.632052064,541.7862607,0.9930439,NA,0.985241056684637,0,0,0,1,0,NA,1
"8",8,1,15,2.148848283,-1.227246761,365.0093858,-1.721734166,NA,0.141595472718715,0,0,1,0,0,NA,0
"9",9,1,15,3.517462018,1.240697026,442.7861174,-0.527310371,NA,0.141595472718715,0,0,1,0,0,NA,0
"10",10,0,15,2.297982051,-0.958322465,443.8178084,-0.511466324,NA,0.141595472718715,0,0,1,0,0,NA,0
"11",11,0,12,2.698914893,-0.235342562,454.9357088,-0.340727895,NA,-1.12387290323017,0,1,0,0,0,NA,0
"12",12,0,17,2.41334645,-0.750292063,462.0405152,-0.231618419,NA,0.985241056684637,0,0,0,1,0,NA,1
"13",13,0,12,2.609750842,-0.396127433,449.8686003,-0.418543935,NA,-1.12387290323017,0,1,0,0,0,NA,0
"14",14,0,10,2.446522967,-0.690466881,278.9258904,-3.043726206,NA,-1.96751848719609,1,0,0,0,0,NA,0
"15",15,0,17,2.978934997,0.269601703,644.1822519,2.56554842,NA,0.985241056684637,0,0,0,1,0,NA,1
"16",16,0,15,2.579201672,-0.45121479,459.7992047,-0.266038775,NA,0.141595472718715,0,0,1,0,0,NA,0
"17",17,0,17,3.791767962,1.735337615,615.3746154,2.123147249,NA,0.985241056684637,0,0,0,1,0,NA,1
"18",18,1,12,2.957427932,0.230819285,399.2933665,-1.195232272,NA,-1.12387290323017,0,1,0,0,0,NA,0
"19",19,0,10,1.52487179,-2.352428198,376.5495305,-1.544511437,NA,-1.96751848719609,1,0,0,0,0,NA,0
"20",20,1,12,2.772350624,-0.102920383,538.7756267,0.94680953,NA,-1.12387290323017,0,1,0,0,0,NA,0
"21",21,0,15,3.547372232,1.294632673,514.8192259,0.578908622,NA,0.141595472718715,0,0,1,0,0,NA,0
"22",22,1,17,3.419956118,1.064870358,448.9116473,-0.433239758,NA,0.985241056684637,0,0,0,1,0,NA,1
"23",23,0,15,2.857543698,0.050703622,475.6170579,-0.023122298,NA,0.141595472718715,0,0,1,0,0,NA,0
"24",24,0,12,2.408438,-0.759143412,438.4282294,-0.594234705,NA,-1.12387290323017,0,1,0,0,0,NA,0
"25",25,0,15,2.695904725,-0.240770817,466.4313017,-0.164188847,NA,0.141595472718715,0,0,1,0,0,NA,0
"26",26,0,17,2.677092738,-0.27469331,477.0289099,-0.001440624,NA,0.985241056684637,0,0,0,1,0,NA,1
"27",27,1,17,3.506612838,1.221133232,528.8362337,0.794169426,NA,0.985241056684637,0,0,0,1,0,NA,1
"28",28,1,15,2.785373452,-0.079436928,476.1823719,-0.014440818,NA,0.141595472718715,0,0,1,0,0,NA,0
"29",29,1,17,3.960817521,2.040174961,554.648164,1.190565825,NA,0.985241056684637,0,0,0,1,0,NA,1
"30",30,1,17,3.894861685,1.921240568,550.8999722,1.13300395,NA,0.985241056684637,0,0,0,1,0,NA,1
"31",31,0,15,2.80476064,-0.044477005,472.6174618,-0.069187477,NA,0.141595472718715,0,0,1,0,0,NA,0
"32",32,1,15,2.294399625,-0.964782059,448.2809095,-0.442926049,NA,0.141595472718715,0,0,1,0,0,NA,0
"33",33,0,17,3.656716156,1.49180603,532.699763,0.853501916,NA,0.985241056684637,0,0,0,1,0,NA,1
"34",34,0,15,2.870241009,0.0735998,476.3386231,-0.012041273,NA,0.141595472718715,0,0,1,0,0,NA,0
"35",35,1,17,2.523726775,-0.551249743,472.9799537,-0.063620716,NA,0.985241056684637,0,0,0,1,0,NA,1
"36",36,1,12,3.093324256,0.475873232,482.0161864,0.075149395,NA,-1.12387290323017,0,1,0,0,0,NA,0
"37",37,1,12,2.475049964,-0.639025748,446.8803805,-0.464434296,NA,-1.12387290323017,0,1,0,0,0,NA,0
"38",38,0,15,2.719253489,-0.198667228,467.758189,-0.143811926,NA,0.141595472718715,0,0,1,0,0,NA,0
"39",39,0,17,3.449549259,1.118233681,520.9267087,0.672701776,NA,0.985241056684637,0,0,0,1,0,NA,1
"40",40,1,17,2.805221389,-0.043646384,488.9769678,0.182046801,NA,0.985241056684637,0,0,0,1,0,NA,1
"41",41,1,17,3.930859905,1.98615396,552.9457012,1.164420247,NA,0.985241056684637,0,0,0,1,0,NA,1
"42",42,1,12,2.838530967,0.016419113,467.5365901,-0.147214875,NA,-1.12387290323017,0,1,0,0,0,NA,0
"43",43,0,10,1.883312021,-1.706073403,396.9192624,-1.231691718,NA,-1.96751848719609,1,0,0,0,0,NA,0
